com_name,sci_name_bw,sci_name_elton,sci_name_botw,nocturnal,cavity
Brubru,Nilaus afer,Nilaus afer,Nilaus afer,0,
Hadada Ibis,Bostrychia hagedash,Bostrychia hagedash,Bostrychia hagedash,0,
Northern Gray-headed Sparrow,Passer griseus,Passer griseus,Passer griseus,0,
Red-cheeked Cordonbleu,Uraeginthus bengalus,Uraeginthus bengalus,Uraeginthus bengalus,0,
Red-eyed Dove,Streptopelia semitorquata,Streptopelia semitorquata,Streptopelia semitorquata,0,
White-browed Robin-Chat,Cossypha heuglini,Cossypha heuglini,Cossypha heuglini,0,
African Wood-Owl,Strix woodfordii,Strix woodfordii,Strix woodfordii,1,
Black-headed Gonolek,Laniarius erythrogaster,Laniarius erythrogaster,Laniarius erythrogaster,0,
Long-tailed Nightjar,Caprimulgus climacurus,Caprimulgus climacurus,Caprimulgus climacurus,1,
Pied Crow,Corvus albus,Corvus albus,Corvus albus,0,
Red-chested Cuckoo,Cuculus solitarius,Cuculus solitarius,Cuculus solitarius,0,
Wattled Lapwing,Vanellus senegallus,Vanellus senegallus,Vanellus senegallus,0,
Cape Sparrow,Passer melanurus,Passer melanurus,Passer melanurus,0,
Crowned Lapwing,Vanellus coronatus,Vanellus coronatus,Vanellus coronatus,0,
Red-winged Starling,Onychognathus morio,Onychognathus morio,Onychognathus morio,0,
Small Buttonquail,Turnix sylvaticus,Turnix sylvaticus,Turnix sylvaticus,0,
Southern Gray-headed Sparrow,Passer diffusus,Passer diffusus,Passer diffusus,0,
Speckled Pigeon,Columba guinea,Columba guinea,Columba guinea,0,
Helmeted Guineafowl,Numida meleagris,Numida meleagris,Numida meleagris,0,
Southern Masked-Weaver,Ploceus velatus,Ploceus velatus,Ploceus velatus,0,
Black-collared Barbet,Lybius torquatus,Lybius torquatus,Lybius torquatus,0,
Gray-headed Bushshrike,Malaconotus blanchoti,Malaconotus blanchoti,Malaconotus blanchoti,0,
Gray Go-away-bird,Corythaixoides concolor,Corythaixoides concolor,Corythaixoides concolor,0,
Spotted Thick-knee,Burhinus capensis,Burhinus capensis,Burhinus capensis,0,
Green Woodhoopoe,Phoeniculus purpureus,Phoeniculus purpureus,Phoeniculus purpureus,0,
Red-faced Mousebird,Urocolius indicus,Urocolius indicus,Urocolius indicus,0,
Speckled Mousebird,Colius striatus,Colius striatus,Colius striatus,0,
Spotted Eagle-Owl,Bubo africanus,Bubo africanus,Bubo africanus,1,
Common House-Martin,Delichon urbicum,Delichon urbicum,Delichon urbicum,0,
White-starred Robin,Pogonocichla stellata,Pogonocichla stellata,Pogonocichla stellata,0,
Common Myna,Acridotheres tristis,Acridotheres tristis,Acridotheres tristis,0,1
Crested Barbet,Trachyphonus vaillantii,Trachyphonus vaillantii,Trachyphonus vaillantii,0,
Egyptian Goose,Alopochen aegyptiaca,Alopochen aegyptiaca,Alopochen aegyptiaca,0,
African Thrush,Turdus pelios,Turdus pelios,Turdus pelios,0,
Great White Pelican,Pelecanus onocrotalus,Pelecanus onocrotalus,Pelecanus onocrotalus,0,
Klaas's Cuckoo,Chrysococcyx klaas,Chrysococcyx klaas,Chrysococcyx klaas,0,
Yellow-fronted Tinkerbird,Pogoniulus chrysoconus,Pogoniulus chrysoconus,Pogoniulus chrysoconus,0,
African Paradise-Flycatcher,Terpsiphone viridis,Terpsiphone viridis,Terpsiphone viridis,0,
African Scops-Owl,Otus senegalensis,Otus senegalensis,Otus senegalensis,1,
Fan-tailed Raven,Corvus rhipidurus,Corvus rhipidurus,Corvus rhipidurus,0,
Pin-tailed Whydah,Vidua macroura,Vidua macroura,Vidua macroura,0,
Striped Kingfisher,Halcyon chelicuti,Halcyon chelicuti,Halcyon chelicuti,0,
Verreaux's Eagle-Owl,Bubo lacteus,Bubo lacteus,Bubo lacteus,1,
Village Weaver,Ploceus cucullatus,Ploceus cucullatus,Ploceus cucullatus,0,
Abyssinian Nightjar,Caprimulgus poliocephalus,Caprimulgus poliocephalus,Caprimulgus poliocephalus,1,
Blue-spotted Wood-Dove,Turtur afer,Turtur afer,Turtur afer,0,
African Palm-Swift,Cypsiurus parvus,Cypsiurus parvus,Cypsiurus parvus,0,
Chestnut-crowned Sparrow-Weaver,Plocepasser superciliosus,Plocepasser superciliosus,Plocepasser superciliosus,0,
Lesser Blue-eared Starling,Lamprotornis chloropterus,Lamprotornis chloropterus,Lamprotornis chloropterus,0,
Vinaceous Dove,Streptopelia vinacea,Streptopelia vinacea,Streptopelia vinacea,0,
Freckled Nightjar,Caprimulgus tristigma,Caprimulgus tristigma,Caprimulgus tristigma,1,
Hairy-breasted Barbet,Tricholaema hirsuta,Tricholaema hirsuta,Tricholaema hirsuta,0,
Northern Puffback,Dryoscopus gambensis,Dryoscopus gambensis,Dryoscopus gambensis,0,
RÃ¼ppell's Starling,Lamprotornis purpuroptera,Lamprotornis purpuroptera,Lamprotornis purpuroptera,0,
Common Bulbul,Pycnonotus barbatus,Pycnonotus barbatus,Pycnonotus barbatus,0,
Eurasian Hoopoe,Upupa epops,Upupa epops,Upupa epops,0,
Brown-hooded Kingfisher,Halcyon albiventris,Halcyon albiventris,Halcyon albiventris,0,
European Bee-eater,Merops apiaster,Merops apiaster,Merops apiaster,0,
African Black-headed Oriole,Oriolus larvatus,Oriolus larvatus,Oriolus larvatus,0,
Black Cuckoo,Cuculus clamosus,Cuculus clamosus,Cuculus clamosus,0,
Emerald-spotted Wood-Dove,Turtur chalcospilos,Turtur chalcospilos,Turtur chalcospilos,0,
Fiery-necked Nightjar,Caprimulgus pectoralis,Caprimulgus pectoralis,Caprimulgus pectoralis,1,
Pied Barbet,Tricholaema leucomelas,Tricholaema leucomelas,Tricholaema leucomelas,0,
Ring-necked Dove,Streptopelia capicola,Streptopelia capicola,Streptopelia capicola,0,
Southern Yellow-billed Hornbill,Tockus leucomelas,Tockus leucomelas,Tockus leucomelas,0,
Black-backed Puffback,Dryoscopus cubla,Dryoscopus cubla,Dryoscopus cubla,0,
Common Scimitarbill,Rhinopomastus cyanomelas,Rhinopomastus cyanomelas,Rhinopomastus cyanomelas,0,
Southern Cordonbleu,Uraeginthus angolensis,Uraeginthus angolensis,Uraeginthus angolensis,0,
White Helmetshrike,Prionops plumatus,Prionops plumatus,Prionops plumatus,0,
Bananaquit,Coereba flaveola,Coereba flaveola,Coereba flaveola,0,
Black Phoebe,Sayornis nigricans,Sayornis nigricans,Sayornis nigricans,0,
Blue-and-white Swallow,Pygochelidon cyanoleuca,Pygochelidon cyanoleuca,Pygochelidon cyanoleuca,0,
Great Kiskadee,Pitangus sulphuratus,Pitangus sulphuratus,Pitangus sulphuratus,0,
Ruddy Ground Dove,Columbina talpacoti,Columbina talpacoti,Columbina talpacoti,0,
Saffron Finch,Sicalis flaveola,Sicalis flaveola,Sicalis flaveola,0,
Tropical Kingbird,Tyrannus melancholicus,Tyrannus melancholicus,Tyrannus melancholicus,0,
Black-crowned Night-Heron,Nycticorax nycticorax,Nycticorax nycticorax,Nycticorax nycticorax,0,
Broad-winged Hawk,Buteo platypterus,Buteo platypterus,Buteo platypterus,0,
Green Jay,Cyanocorax yncas,Cyanocorax yncas,Cyanocorax yncas,0,
House Wren,Troglodytes aedon,Troglodytes aedon,Troglodytes aedon,0,1
Red-crowned Woodpecker,Melanerpes rubricapillus,Melanerpes rubricapillus,Melanerpes rubricapillus,0,
Red-lored Parrot,Amazona autumnalis,Amazona autumnalis,Amazona autumnalis,0,
Vermilion Flycatcher,Pyrocephalus rubinus,Pyrocephalus rubinus,Pyrocephalus rubinus,0,0
Osprey,Pandion haliaetus,Pandion haliaetus,Pandion haliaetus,0,0
Summer Tanager,Piranga rubra,Piranga rubra,Piranga rubra,0,0
Common Tody-Flycatcher,Todirostrum cinereum,Todirostrum cinereum,Todirostrum cinereum,0,
Eastern Wood-Pewee,Contopus virens,Contopus virens,Contopus virens,0,0
Swallow-tailed Kite,Elanoides forficatus,Elanoides forficatus,Elanoides forficatus,0,
American Kestrel,Falco sparverius,Falco sparverius,Falco sparverius,0,1
American Redstart,Setophaga ruticilla,Setophaga ruticilla,Setophaga ruticilla,0,0
Black-bellied Whistling-Duck,Dendrocygna autumnalis,Dendrocygna autumnalis,Dendrocygna autumnalis,0,
Boat-billed Flycatcher,Megarynchus pitangua,Megarynchus pitangua,Megarynchus pitangua,0,
Barn Owl,Tyto alba,Tyto alba,Tyto alba,1,1
Rufous-tailed Hummingbird,Amazilia tzacatl,Amazilia tzacatl,Amazilia tzacatl,0,
Savanna Nightjar,Caprimulgus affinis,Caprimulgus affinis,Caprimulgus affinis,1,
Yellow-vented Bulbul,Pycnonotus goiavier,Pycnonotus goiavier,Pycnonotus goiavier,0,
Zebra Dove,Geopelia striata,Geopelia striata,Geopelia striata,0,
Collared Kingfisher,Todiramphus chloris,Todiramphus chloris,Todiramphus chloris,0,
Lowland White-eye,Zosterops meyeni,Zosterops meyeni,Zosterops meyeni,0,
Philippine Nightjar,Caprimulgus manillensis,Caprimulgus manillensis,Caprimulgus manillensis,1,
Golden-bellied Gerygone,Gerygone sulphurea,Gerygone sulphurea,Gerygone sulphurea,0,
Asian Golden Weaver,Ploceus hypoxanthus,Ploceus hypoxanthus,Ploceus hypoxanthus,0,
Asian Koel,Eudynamys scolopaceus,Eudynamys scolopaceus,Eudynamys scolopaceus,0,
Common Iora,Aegithina tiphia,Aegithina tiphia,Aegithina tiphia,0,
Common Tailorbird,Orthotomus sutorius,Orthotomus sutorius,Orthotomus sutorius,0,
Malaysian Pied-Fantail,Rhipidura javanica,Rhipidura javanica,Rhipidura javanica,0,
Oriental Magpie-Robin,Copsychus saularis,Copsychus saularis,Copsychus saularis,0,
Plain Prinia,Prinia inornata,Prinia inornata,Prinia inornata,0,
Plaintive Cuckoo,Cacomantis merulinus,Cacomantis merulinus,Cacomantis merulinus,0,
Red-wattled Lapwing,Vanellus indicus,Vanellus indicus,Vanellus indicus,0,
White-throated Kingfisher,Halcyon smyrnensis,Halcyon smyrnensis,Halcyon smyrnensis,0,
Brown-throated Sunbird,Anthreptes malacensis,Anthreptes malacensis,Anthreptes malacensis,0,1
Eurasian Tree Sparrow,Passer montanus,Passer montanus,Passer montanus,0,
Little Spiderhunter,Arachnothera longirostra,Arachnothera longirostra,Arachnothera longirostra,0,
Plain-backed Sparrow,Passer flaveolus,Passer flaveolus,Passer flaveolus,0,
Streaked Weaver,Ploceus manyar,Ploceus manyar,Ploceus manyar,0,
White-breasted Waterhen,Amaurornis phoenicurus,Amaurornis phoenicurus,Amaurornis phoenicurus,0,
Black-winged Stilt,Himantopus himantopus,Himantopus himantopus,Himantopus himantopus,0,
Coral-billed Ground-Cuckoo,Carpococcyx renauldi,Carpococcyx renauldi,Carpococcyx renauldi,0,
Small Minivet,Pericrocotus cinnamomeus,Pericrocotus cinnamomeus,Pericrocotus cinnamomeus,0,
Arctic Warbler,Phylloscopus borealis,Phylloscopus borealis,Phylloscopus borealis,0,
Brown Shrike,Lanius cristatus,Lanius cristatus,Lanius cristatus,0,
Great Myna,Acridotheres grandis,Acridotheres grandis,Acridotheres grandis,0,
Dark-necked Tailorbird,Orthotomus atrogularis,Orthotomus atrogularis,Orthotomus atrogularis,0,
Black-capped Kingfisher,Halcyon pileata,Halcyon pileata,Halcyon pileata,0,
Collared Scops-Owl,Otus lettia,Otus lettia,Otus lettia,1,
Taiga Flycatcher,Ficedula albicilla,Ficedula albicilla,Ficedula albicilla,0,
Yellow-browed Warbler,Phylloscopus inornatus,Phylloscopus inornatus,Phylloscopus inornatus,0,
Asian Barred Owlet,Glaucidium cuculoides,Glaucidium cuculoides,Glaucidium cuculoides,1,
Green-billed Malkoha,Phaenicophaeus tristis,Phaenicophaeus tristis,Phaenicophaeus tristis,0,
Lesser Whistling-Duck,Dendrocygna javanica,Dendrocygna javanica,Dendrocygna javanica,0,
Scaly-breasted Munia,Lonchura punctulata,Lonchura punctulata,Lonchura punctulata,0,
Blue-tailed Bee-eater,Merops philippinus,Merops philippinus,Merops philippinus,0,
Burmese Shrike,Lanius collurioides,Lanius collurioides,Lanius collurioides,0,
Scarlet-backed Flowerpecker,Dicaeum cruentatum,Dicaeum cruentatum,Dicaeum cruentatum,0,
Rock Pigeon,Columba livia,Columba livia,Columba livia,0,0
Gray-eyed Bulbul,Iole propinqua,Iole propinqua,Iole propinqua,0,
House Sparrow,Passer domesticus,Passer domesticus,Passer domesticus,0,1
Light-vented Bulbul,Pycnonotus sinensis,Pycnonotus sinensis,Pycnonotus sinensis,0,
Eurasian Jay,Garrulus glandarius,Garrulus glandarius,Garrulus glandarius,0,0
White Wagtail,Motacilla alba,Motacilla alba,Motacilla alba,0,
Common Sandpiper,Actitis hypoleucos,Actitis hypoleucos,Actitis hypoleucos,0,
Gray Heron,Ardea cinerea,Ardea cinerea,Ardea cinerea,0,0
Ring-necked Pheasant,Phasianus colchicus,Phasianus colchicus,Phasianus colchicus,0,
Daurian Redstart,Phoenicurus auroreus,Phoenicurus auroreus,Phoenicurus auroreus,0,
Red-whiskered Bulbul,Pycnonotus jocosus,Pycnonotus jocosus,Pycnonotus jocosus,0,
Chestnut Bulbul,Hemixos castanonotus,Hemixos castanonotus,Hemixos castanonotus,0,
Common Kingfisher,Alcedo atthis,Alcedo atthis,Alcedo atthis,0,
Gray Wagtail,Motacilla cinerea,Motacilla cinerea,Motacilla cinerea,0,
Mallard,Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos,0,0
Eurasian Collared-Dove,Streptopelia decaocto,Streptopelia decaocto,Streptopelia decaocto,0,0
Black Redstart,Phoenicurus ochruros,Phoenicurus ochruros,Phoenicurus ochruros,0,
Common Chiffchaff,Phylloscopus collybita,Phylloscopus collybita,Phylloscopus collybita,0,
Common Swift,Apus apus,Apus apus,Apus apus,0,
Eurasian Jackdaw,Corvus monedula,Corvus monedula,Corvus monedula,0,0
Eurasian Magpie,Pica pica,Pica pica,Pica pica,0,0
European Serin,Serinus serinus,Serinus serinus,Serinus serinus,0,
Tawny Owl,Strix aluco,Strix aluco,Strix aluco,1,
Eurasian Green Woodpecker,Picus viridis,Picus viridis,Picus viridis,0,1
European Robin,Erithacus rubecula,Erithacus rubecula,Erithacus rubecula,0,0
Great Tit,Parus major,Parus major,Parus major,0,1
Song Thrush,Turdus philomelos,Turdus philomelos,Turdus philomelos,0,0
Spotted Flycatcher,Muscicapa striata,Muscicapa striata,Muscicapa striata,0,
Tree Pipit,Anthus trivialis,Anthus trivialis,Anthus trivialis,0,
Common Chaffinch,Fringilla coelebs,Fringilla coelebs,Fringilla coelebs,0,
Eurasian Blackbird,Turdus merula,Turdus merula,Turdus merula,0,0
European Goldfinch,Carduelis carduelis,Carduelis carduelis,Carduelis carduelis,0,
Great Spotted Woodpecker,Dendrocopos major,Dendrocopos major,Dendrocopos major,0,1
Green Sandpiper,Tringa ochropus,Tringa ochropus,Tringa ochropus,0,0
Long-tailed Tit,Aegithalos caudatus,Aegithalos caudatus,Aegithalos caudatus,0,
Rook,Corvus frugilegus,Corvus frugilegus,Corvus frugilegus,0,
Redwing,Turdus iliacus,Turdus iliacus,Turdus iliacus,0,0
Barn Swallow,Hirundo rustica,Hirundo rustica,Hirundo rustica,0,0
Black Woodpecker,Dryocopus martius,Dryocopus martius,Dryocopus martius,0,1
Common Buzzard,Buteo buteo,Buteo buteo,Buteo buteo,0,0
Common Crane,Grus grus,Grus grus,Grus grus,0,0
Common Greenshank,Tringa nebularia,Tringa nebularia,Tringa nebularia,0,0
Common Raven,Corvus corax,Corvus corax,Corvus corax,0,0
Common Wood-Pigeon,Columba palumbus,Columba palumbus,Columba palumbus,0,0
Eurasian Blackcap,Sylvia atricapilla,Sylvia atricapilla,Sylvia atricapilla,0,
Eurasian Bullfinch,Pyrrhula pyrrhula,Pyrrhula pyrrhula,Pyrrhula pyrrhula,0,
Eurasian Coot,Fulica atra,Fulica atra,Fulica atra,0,0
Eurasian Curlew,Numenius arquata,Numenius arquata,Numenius arquata,0,
Eurasian Golden Oriole,Oriolus oriolus,Oriolus oriolus,Oriolus oriolus,0,
Fieldfare,Turdus pilaris,Turdus pilaris,Turdus pilaris,0,0
Goldcrest,Regulus regulus,Regulus regulus,Regulus regulus,0,
Little Bittern,Ixobrychus minutus,Ixobrychus minutus,Ixobrychus minutus,0,
Little Ringed Plover,Charadrius dubius,Charadrius dubius,Charadrius dubius,0,
Water Rail,Rallus aquaticus,Rallus aquaticus,Rallus aquaticus,0,
Wood Lark,Lullula arborea,Lullula arborea,Lullula arborea,0,
Great Bittern,Botaurus stellaris,Botaurus stellaris,Botaurus stellaris,0,
Carrion Crow,Corvus corone,Corvus corone,Corvus corone,0,0
Common Quail,Coturnix coturnix,Coturnix coturnix,Coturnix coturnix,0,
Common Redstart,Phoenicurus phoenicurus,Phoenicurus phoenicurus,Phoenicurus phoenicurus,0,
Eurasian Kestrel,Falco tinnunculus,Falco tinnunculus,Falco tinnunculus,0,1
Eurasian Nuthatch,Sitta europaea,Sitta europaea,Sitta europaea,0,1
European Starling,Sturnus vulgaris,Sturnus vulgaris,Sturnus vulgaris,0,1
Hawfinch,Coccothraustes coccothraustes,Coccothraustes coccothraustes,Coccothraustes coccothraustes,0,
Mistle Thrush,Turdus viscivorus,Turdus viscivorus,Turdus viscivorus,0,0
Willow Warbler,Phylloscopus trochilus,Phylloscopus trochilus,Phylloscopus trochilus,0,
Red-backed Shrike,Lanius collurio,Lanius collurio,Lanius collurio,0,
Short-toed Treecreeper,Certhia brachydactyla,Certhia brachydactyla,Certhia brachydactyla,0,
Peregrine Falcon,Falco peregrinus,Falco peregrinus,Falco peregrinus,0,0
Black-tailed Godwit,Limosa limosa,Limosa limosa,Limosa limosa,0,0
Cirl Bunting,Emberiza cirlus,Emberiza cirlus,Emberiza cirlus,0,
Crested Lark,Galerida cristata,Galerida cristata,Galerida cristata,0,
Eurasian Griffon,Gyps fulvus,Gyps fulvus,Gyps fulvus,0,
Eurasian Moorhen,Gallinula chloropus,Gallinula chloropus,Gallinula chloropus,0,
Eurasian Scops-Owl,Otus scops,Otus scops,Otus scops,1,1
Eurasian Thick-knee,Burhinus oedicnemus,Burhinus oedicnemus,Burhinus oedicnemus,0,
Graylag Goose,Anser anser,Anser anser,Anser anser,0,
Greater Flamingo,Phoenicopterus roseus,Phoenicopterus roseus,Phoenicopterus roseus,0,
Little Owl,Athene noctua,Athene noctua,Athene noctua,1,1
Red-billed Chough,Pyrrhocorax pyrrhocorax,Pyrrhocorax pyrrhocorax,Pyrrhocorax pyrrhocorax,0,
Rock Sparrow,Petronia petronia,Petronia petronia,Petronia petronia,0,
Spanish Sparrow,Passer hispaniolensis,Passer hispaniolensis,Passer hispaniolensis,0,
Spotless Starling,Sturnus unicolor,Sturnus unicolor,Sturnus unicolor,0,
Western Bonelli's Warbler,Phylloscopus bonelli,Phylloscopus bonelli,Phylloscopus bonelli,0,
Western Yellow Wagtail,Motacilla flava,Motacilla flava,Motacilla flava,0,
White Stork,Ciconia ciconia,Ciconia ciconia,Ciconia ciconia,0,
Common Cuckoo,Cuculus canorus,Cuculus canorus,Cuculus canorus,0,
Melodious Warbler,Hippolais polyglotta,Hippolais polyglotta,Hippolais polyglotta,0,
Pallid Swift,Apus pallidus,Apus pallidus,Apus pallidus,0,
Common Grasshopper-Warbler,Locustella naevia,Locustella naevia,Locustella naevia,0,
European Turtle-Dove,Streptopelia turtur,Streptopelia turtur,Streptopelia turtur,0,0
Bank Swallow,Riparia riparia,Riparia riparia,Riparia riparia,0,1
Yellow-legged Gull,Larus michahellis,Larus michahellis,Larus michahellis,0,0
Little Grebe,Tachybaptus ruficollis,Tachybaptus ruficollis,Tachybaptus ruficollis,0,0
Savi's Warbler,Locustella luscinioides,Locustella luscinioides,Locustella luscinioides,0,
Eurasian Eagle-Owl,Bubo bubo,Bubo bubo,Bubo bubo,1,
European Honey-buzzard,Pernis apivorus,Pernis apivorus,Pernis apivorus,0,
Red Crossbill,Loxia curvirostra,Loxia curvirostra,Loxia curvirostra,0,
Wood Sandpiper,Tringa glareola,Tringa glareola,Tringa glareola,0,
Black Kite,Milvus migrans,Milvus migrans,Milvus migrans,0,
Brambling,Fringilla montifringilla,Fringilla montifringilla,Fringilla montifringilla,0,
Cetti's Warbler,Cettia cetti,Cettia cetti,Cettia cetti,0,
Common Pochard,Aythya ferina,Aythya ferina,Aythya ferina,0,
Common Redshank,Tringa totanus,Tringa totanus,Tringa totanus,0,
Common Ringed Plover,Charadrius hiaticula,Charadrius hiaticula,Charadrius hiaticula,0,
Common Shelduck,Tadorna tadorna,Tadorna tadorna,Tadorna tadorna,0,
Common Snipe,Gallinago gallinago,Gallinago gallinago,Gallinago gallinago,0,
Eurasian Skylark,Alauda arvensis,Alauda arvensis,Alauda arvensis,0,
European Golden-Plover,Pluvialis apricaria,Pluvialis apricaria,Pluvialis apricaria,0,0
Glossy Ibis,Plegadis falcinellus,Plegadis falcinellus,Plegadis falcinellus,0,0
Great Cormorant,Phalacrocorax carbo,Phalacrocorax carbo,Phalacrocorax carbo,0,0
Little Egret,Egretta garzetta,Egretta garzetta,Egretta garzetta,0,0
Meadow Pipit,Anthus pratensis,Anthus pratensis,Anthus pratensis,0,
Mute Swan,Cygnus olor,Cygnus olor,Cygnus olor,0,0
Northern Lapwing,Vanellus vanellus,Vanellus vanellus,Vanellus vanellus,0,0
Red Kite,Milvus milvus,Milvus milvus,Milvus milvus,0,
Zitting Cisticola,Cisticola juncidis,Cisticola juncidis,Cisticola juncidis,0,
Common Nightingale,Luscinia megarhynchos,Luscinia megarhynchos,Luscinia megarhynchos,0,
European Pied Flycatcher,Ficedula hypoleuca,Ficedula hypoleuca,Ficedula hypoleuca,0,
Garden Warbler,Sylvia borin,Sylvia borin,Sylvia borin,0,
Great Crested Grebe,Podiceps cristatus,Podiceps cristatus,Podiceps cristatus,0,
Great Reed Warbler,Acrocephalus arundinaceus,Acrocephalus arundinaceus,Acrocephalus arundinaceus,0,
Green-winged Teal,Anas crecca,Anas crecca,Anas crecca,0,
Mandarin Duck,Aix galericulata,Aix galericulata,Aix galericulata,0,
Pied Avocet,Recurvirostra avosetta,Recurvirostra avosetta,Recurvirostra avosetta,0,
Ruddy Shelduck,Tadorna ferruginea,Tadorna ferruginea,Tadorna ferruginea,0,
Spotted Crake,Porzana porzana,Porzana porzana,Porzana porzana,0,
Whimbrel,Numenius phaeopus,Numenius phaeopus,Numenius phaeopus,0,0
Common Firecrest,Regulus ignicapilla,Regulus ignicapilla,Regulus ignicapilla,0,
Eurasian Nightjar,Caprimulgus europaeus,Caprimulgus europaeus,Caprimulgus europaeus,1,
Eurasian Reed Warbler,Acrocephalus scirpaceus,Acrocephalus scirpaceus,Acrocephalus scirpaceus,0,
Eurasian Wryneck,Jynx torquilla,Jynx torquilla,Jynx torquilla,0,
Icterine Warbler,Hippolais icterina,Hippolais icterina,Hippolais icterina,0,
Long-eared Owl,Asio otus,Asio otus,Asio otus,1,
Reed Bunting,Emberiza schoeniclus,Emberiza schoeniclus,Emberiza schoeniclus,0,
Whiskered Tern,Chlidonias hybrida,Chlidonias hybrida,Chlidonias hybrida,0,
Cory's Shearwater,Calonectris diomedea,Calonectris diomedea,Calonectris diomedea,0,
Eurasian Treecreeper,Certhia familiaris,Certhia familiaris,Certhia familiaris,0,
Monk Parakeet,Myiopsitta monachus,Myiopsitta monachus,Myiopsitta monachus,0,
Bearded Reedling,Panurus biarmicus,Panurus biarmicus,Panurus biarmicus,0,
Dunnock,Prunella modularis,Prunella modularis,Prunella modularis,0,
Thekla's Lark,Galerida theklae,Galerida theklae,Galerida theklae,0,
Bluethroat,Luscinia svecica,Luscinia svecica,Luscinia svecica,0,
Dunlin,Calidris alpina,Calidris alpina,Calidris alpina,0,0
Eurasian Hobby,Falco subbuteo,Falco subbuteo,Falco subbuteo,0,
Eurasian Oystercatcher,Haematopus ostralegus,Haematopus ostralegus,Haematopus ostralegus,0,0
Eurasian Wren,Troglodytes troglodytes,Troglodytes troglodytes,Troglodytes troglodytes,0,
Water Pipit,Anthus spinoletta,Anthus spinoletta,Anthus spinoletta,0,
Common Merganser,Mergus merganser,Mergus merganser,Mergus merganser,0,
Rock Bunting,Emberiza cia,Emberiza cia,Emberiza cia,0,
Tufted Duck,Aythya fuligula,Aythya fuligula,Aythya fuligula,0,0
Black-bellied Plover,Pluvialis squatarola,Pluvialis squatarola,Pluvialis squatarola,0,0
Eurasian Penduline-Tit,Remiz pendulinus,Remiz pendulinus,Remiz pendulinus,0,
Eurasian Woodcock,Scolopax rusticola,Scolopax rusticola,Scolopax rusticola,0,0
Greater White-fronted Goose,Anser albifrons,Anser albifrons,Anser albifrons,0,0
Lesser Black-backed Gull,Larus fuscus,Larus fuscus,Larus fuscus,0,0
Northern Pintail,Anas acuta,Anas acuta,Anas acuta,0,0
Red-throated Loon,Gavia stellata,Gavia stellata,Gavia stellata,0,0
White-throated Dipper,Cinclus cinclus,Cinclus cinclus,Cinclus cinclus,0,
Yellowhammer,Emberiza citrinella,Emberiza citrinella,Emberiza citrinella,0,
Eurasian Sparrowhawk,Accipiter nisus,Accipiter nisus,Accipiter nisus,0,
Stock Dove,Columba oenas,Columba oenas,Columba oenas,0,0
Herring Gull,Larus argentatus,Larus argentatus,Larus argentatus,0,0
Pink-footed Goose,Anser brachyrhynchus,Anser brachyrhynchus,Anser brachyrhynchus,0,0
Atlantic Puffin,Fratercula arctica,Fratercula arctica,Fratercula arctica,0,1
Sedge Warbler,Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,0,
Ring Ouzel,Turdus torquatus,Turdus torquatus,Turdus torquatus,0,
Wood Warbler,Phylloscopus sibilatrix,Phylloscopus sibilatrix,Phylloscopus sibilatrix,0,
Chilean Flamingo,Phoenicopterus chilensis,Phoenicopterus chilensis,Phoenicopterus chilensis,0,
Lark-like Bunting,Emberiza impetuani,Emberiza impetuani,Emberiza impetuani,0,
Whooper Swan,Cygnus cygnus,Cygnus cygnus,Cygnus cygnus,0,0
Barnacle Goose,Branta leucopsis,Branta leucopsis,Branta leucopsis,0,0
Canada Goose,Branta canadensis,Branta canadensis,Branta canadensis,0,0
Common Gull,Larus canus,Larus canus,Larus canus,0,0
Red-legged Partridge,Alectoris rufa,Alectoris rufa,Alectoris rufa,0,0
Boreal Owl,Aegolius funereus,Aegolius funereus,Aegolius funereus,1,1
Black-legged Kittiwake,Rissa tridactyla,Rissa tridactyla,Rissa tridactyla,0,0
Marsh Warbler,Acrocephalus palustris,Acrocephalus palustris,Acrocephalus palustris,0,
Western Capercaillie,Tetrao urogallus,Tetrao urogallus,Tetrao urogallus,0,0
Cattle Egret,Bubulcus ibis,Bubulcus ibis,Bubulcus ibis,0,0
Collared Flycatcher,Ficedula albicollis,Ficedula albicollis,Ficedula albicollis,0,
Whinchat,Saxicola rubetra,Saxicola rubetra,Saxicola rubetra,0,
Red-breasted Flycatcher,Ficedula parva,Ficedula parva,Ficedula parva,0,
Common Tern,Sterna hirundo,Sterna hirundo,Sterna hirundo,0,0
Northern Wheatear,Oenanthe oenanthe,Oenanthe oenanthe,Oenanthe oenanthe,0,
Great Black-backed Gull,Larus marinus,Larus marinus,Larus marinus,0,0
Bohemian Waxwing,Bombycilla garrulus,Bombycilla garrulus,Bombycilla garrulus,0,0
Common Goldeneye,Bucephala clangula,Bucephala clangula,Bucephala clangula,0,1
White-tailed Eagle,Haliaeetus albicilla,Haliaeetus albicilla,Haliaeetus albicilla,0,0
Common Scoter,Melanitta nigra,Melanitta nigra,Melanitta nigra,0,0
Brant,Branta bernicla,Branta bernicla,Branta bernicla,0,0
Gray Partridge,Perdix perdix,Perdix perdix,Perdix perdix,0,0
